"","State","County","Year","annual_median_income","prevalence_asthma_adults_age_adjusted","COPD_deaths_age_adjusted","percent_educ","percent_female","percent_no_leisure","percent_nonwhite","percent_obesity","percent_poverty","smoking_crude"
"130","Alabama","Washington",2019,48864,10.5,73.1,82.5,51.3,38.1,33.6,40.3,18.6,23.3
"131","Alabama","Wilcox",2018,25385,12.6,64.2,76.9,52.6,37.6,72.8,45.8,33.4,24.1
"132","Alabama","Wilcox",2019,30998,12.1,63.9,74.1,52.8,44.1,72.6,45.4,32.5,25.6
"133","Alabama","Winston",2018,41156,10.8,129.3,78.1,50.7,31.4,3.8,35.8,18.6,23.3
"134","Alabama","Winston",2019,40827,10.3,112.3,77.6,50.8,37.7,4.1,38.3,16.7,24.7
"135","Alaska","Aleutians East",2018,70081,7.8,NA,86.4,32.4,26.8,79.2,27.8,15.5,21.8
"136","Alaska","Aleutians East",2019,66923,7.6,NA,83.6,32.5,28.1,78.8,31.5,14.8,20.2
"137","Alaska","Aleutians West",2018,82633,7.6,NA,88.8,34.1,24.4,66.4,29.6,10,20.4
"138","Alaska","Aleutians West",2019,84726,7.2,NA,83.2,34,23.8,66.8,27.7,7.6,17.9
"139","Alaska","Anchorage",2018,82113,9,44.5,93.8,49.1,19,36.3,27.8,9.5,17.3
"140","Alaska","Anchorage",2019,82512,9.2,45.4,86,49.1,20.5,36.6,30.7,9.5,15.5
"141","Alaska","Bethel",2018,44304,14.4,49.5,81.4,48.2,31.3,90.1,37.6,32.7,35.8
"142","Alaska","Bethel",2019,48262,12.9,46,78.1,48.1,32.6,89.9,38.3,23.5,35.7
"143","Alaska","Bristol Bay",2018,77257,10.5,NA,94.4,47.2,20.6,54.8,31.5,11.2,21.9
"144","Alaska","Bristol Bay",2019,87950,10.1,NA,86.3,47.6,21.6,58.3,34.1,9.8,21.2
"145","Alaska","Denali",2018,75477,9.1,62.2,98.4,44.2,19.2,17.4,26.1,6.9,19.4
"146","Alaska","Denali",2019,78434,9.1,47.6,88.8,44.8,19.9,17.6,28.4,6.6,18.7
"147","Alaska","Dillingham",2018,54524,12.9,NA,87.3,49.1,26.5,83.8,35.2,22,30.7
"148","Alaska","Dillingham",2019,57436,11.7,NA,81.9,49,27.7,84.2,35.7,18.1,31.1
"149","Alaska","Fairbanks North Star",2018,74268,8.8,70.9,94.5,46,19.5,24.4,30.8,8.6,17.5
